1f300;cyclone
1f436;dog
1f437;pig
1f438;frog
1f439;hamster
1f43a;wolf
1f43b;bear
1f43c;panda_face
1f43d;pig_nose
1f43e;feet
1f43f;chipmunk
1f440;eyes
1f441;eye
1f442;ear
1f443;nose
1f444;lips
1f445;tongue
1f446;point_up_2
1f447;point_down
1f448;point_left
1f449;point_right
1f44a;facepunch
1f44b;wave
1f44c;ok_hand
1f44d;thumbsup
1f44e;thumbsdown
1f44f;clap
1f450;open_hands
1f451;crown
1f452;womans_hat
1f453;eyeglasses
1f454;necktie
1f455;shirt
1f456;jeans
1f457;dress
1f458;kimono
1f459;bikini
1f45a;womans_clothes
1f45b;purse
1f45c;handbag
1f45d;pouch
1f45e;mans_shoe
1f45f;athletic_shoe
1f460;high_heel
1f461;sandal
1f462;boot
1f463;footprints
1f464;bust_in_silhouette
1f465;busts_in_silhouette
1f466;boy
1f467;girl
1f468;man
1f469;woman
1f470;person_with_veil
1f471;blond_haired_person
1f472;man_with_gua_pi_mao
1f473;person_with_turban
1f474;older_man
1f475;older_woman
1f476;baby
1f477;construction_worker
1f478;princess
1f479;japanese_ogre
1f480;skull
1f481;information_desk_person
1f482;guard
1f483;dancer
1f484;lipstick
1f485;nail_care
1f486;massage
1f487;haircut
1f488;barber
1f489;syringe
1f490;bouquet
1f491;couple_with_heart
1f492;wedding
1f493;heartbeat
1f494;broken_heart
1f495;two_hearts
1f496;sparkling_heart
1f497;heartpulse
1f498;cupid
1f499;blue_heart
1f4a6;sweat_drops
1f4a7;droplet
1f4a8;dash
1f4a9;hankey
1f4aa;muscle
1f4ab;dizzy
1f4ac;speech_balloon
1f4ad;thought_balloon
1f4ae;white_flower
1f4af;100
1f4b0;moneybag
1f4b1;currency_exchange
1f4b2;heavy_dollar_sign
1f4b3;credit_card
1f4b4;yen
1f4b5;dollar
1f4b6;euro
1f4b7;pound
1f4b8;money_with_wings
1f4b9;chart
1f4ba;seat
1f4bb;computer
1f4bc;briefcase
1f4bd;minidisc
1f4be;floppy_disk
1f4bf;cd
1f4c0;dvd
1f4c1;file_folder
1f4c2;open_file_folder
1f4c3;page_with_curl
1f4c4;page_facing_up
1f4c5;date
1f4c6;calendar
1f4c7;card_index
1f500;twisted_rightwards_arrows
1f501;repeat
1f502;repeat_one
1f503;arrows_clockwise
1f504;arrows_counterclockwise
1f505;low_brightness
1f506;high_brightness
1f507;mute
1f508;speaker
1f509;sound
1f50a;loud_sound
1f50b;battery
1f50c;electric_plug
1f50d;mag
1f50e;mag_right
1f50f;lock_with_ink_pen
1f510;closed_lock_with_key
1f511;key
1f512;lock
1f513;unlock
1f514;bell
1f515;no_bell
1f516;bookmark
1f517;link
1f518;radio_button
1f519;back
1f51a;end
1f51b;on
1f51c;soon
1f51d;top
1f51e;underage
1f51f;keycap_ten
1f520;capital_abcd
1f521;abcd
1f522;1234
1f523;symbols
1f524;abc
1f525;fire
1f526;flashlight
1f527;wrench
1f528;hammer
1f529;nut_and_bolt
1f52a;hocho
1f52b;gun
1f52c;microscope
1f52d;telescope
1f52e;crystal_ball
1f52f;six_pointed_star
1f530;beginner
1f531;trident
1f532;black_square_button
1f533;white_square_button
1f534;red_circle
1f535;large_blue_circle
1f536;large_orange_diamond
1f537;large_blue_diamond
1f538;small_orange_diamond
1f539;small_blue_diamond
1f53a;small_red_triangle
1f53b;small_red_triangle_down
1f53c;arrow_up_small
1f53d;arrow_down_small
1f540
1f541
1f542
1f546
1f547
1f548
1f549;om
1f54a;dove
1f54b;kaaba
1f54c;mosque
1f54d;synagogue
1f54e;menorah
1f550;clock1
1f551;clock2
1f552;clock3
1f553;clock4
1f554;clock5
1f555;clock6
1f556;clock7
1f557;clock8
1f558;clock9
1f559;clock10
1f55a;clock11
1f55b;clock12
1f55c;clock130
1f55d;clock230
1f55e;clock330
1f55f;clock430
1f560;clock530
1f561;clock630
1f562;clock730
1f563;clock830
1f564;clock930
1f565;clock1030
1f566;clock1130
1f567;clock1230
1f568
1f569
1f5e9
1f5ea
1f5eb
1f5ec
1f5ed
1f5ee
1f5ef;right_anger_bubble
1f5f3;ballot_box
1f5fa;world_map
1f5fb;mount_fuji
1f5fc;tokyo_tower
1f5fd;statue_of_liberty
1f5fe;japan
1f5ff;moyai
1f600;grinning
1f601;grin
1f602;joy
1f603;smiley
1f604;smile
1f605;sweat_smile
1f606;laughing
1f607;innocent
1f608;smiling_imp
1f609;wink
1f60a;blush
1f60b;yum
1f60c;relieved
1f60d;heart_eyes
1f60e;sunglasses
1f60f;smirk
1f610;neutral_face
1f611;expressionless
1f612;unamused
1f613;sweat
1f614;pensive
1f615;confused
1f616;confounded
1f617;kissing
1f618;kissing_heart
1f619;kissing_smiling_eyes
1f61a;kissing_closed_eyes
1f61b;stuck_out_tongue
1f61c;stuck_out_tongue_winking_eye
1f61d;stuck_out_tongue_closed_eyes
1f61e;disappointed
1f61f;worried
1f620;angry
1f621;pout
1f622;cry
1f623;persevere
1f624;triumph
1f625;disappointed_relieved
1f626;frowning
1f627;anguished
1f628;fearful
1f629;weary
1f62a;sleepy
1f62b;tired_face
1f62c;grimacing
1f62d;sob
1f62e;open_mouth
1f62f;hushed
1f630;cold_sweat
1f631;scream
1f632;astonished
1f633;flushed
1f634;sleeping
1f635;dizzy_face
1f636;no_mouth
1f637;mask
1f638;smile_cat
1f639;joy_cat
1f63a;smiley_cat
1f63b;heart_eyes_cat
1f63c;smirk_cat
1f63d;kissing_cat
1f63e;pouting_cat
1f63f;crying_cat_face
1f640;scream_cat
1f641;slightly_frowning_face
1f642;slightly_smiling_face
1f643;upside_down_face
1f644;roll_eyes
1f645;no_good
1f646;ok_person
1f647;bow
1f648;see_no_evil
1f649;hear_no_evil
1f64a;speak_no_evil
1f64b;raising_hand
1f64c;raised_hands
1f64d;frowning_person
1f64e;pouting_face
1f64f;pray
1f680;rocket
1f681;helicopter
1f682;steam_locomotive
1f683;railway_car
1f684;bullettrain_side
1f685;bullettrain_front
1f686;train2
1f687;metro
1f688;light_rail
1f689;station
1f68a;tram
1f68b;train
1f68c;bus
1f68d;oncoming_bus
1f68e;trolleybus
1f68f;busstop
1f690;minibus
1f691;ambulance
1f692;fire_engine
1f693;police_car
1f694;oncoming_police_car
1f695;taxi
1f696;oncoming_taxi
1f697;car
1f698;oncoming_automobile
1f699;blue_car
1f69a;truck
1f69b;articulated_lorry
1f69c;tractor
1f69d;monorail
1f69e;mountain_railway
1f69f;suspension_railway
1f6a0;mountain_cableway
1f6a1;aerial_tramway
1f6a2;ship
1f6a3;rowboat
1f6a4;speedboat
1f6a5;traffic_light
1f6a6;vertical_traffic_light
1f6a7;construction
1f6a8;rotating_light
1f6a9;triangular_flag_on_post
1f6aa;door
1f6ab;no_entry_sign
1f6ac;smoking
1f6ad;no_smoking
1f6ae;put_litter_in_its_place
1f6af;do_not_litter
1f6b0;potable_water
1f6b1
1f6b2;bike
1f6b3;no_bicycles
1f6b4;bicyclist
1f6b5;mountain_bicyclist
1f6b6;walking
1f6b7;no_pedestrians
1f6b8;children_crossing
1f6b9;mens
1f6ba;womens
1f6bb;restroom
1f6bc;baby_symbol
1f6bd;toilet
1f6be;wc
1f6bf;shower
1f6c0;bath
1f6c1;bathtub
1f6c2;passport_control
1f6c3;customs
1f6c4;baggage_claim
1f6c5;left_luggage
1f6c6
1f6c7
1f6c8
1f6cb;couch_and_lamp
1f6cc;sleeping_bed
1f6cd;shopping
1f6ce;bellhop_bell
1f6cf;bed
1f6d0;place_of_worship
1f6d1;stop_sign
1f6d2;shopping_cart
1f6e0;hammer_and_wrench
1f6e1;shield
1f6e2;oil_drum
1f6e3;motorway
1f6e4;railway_track
1f6e5;motor_boat
1f6e9;small_airplane
1f6ea
1f6eb;flight_departure
1f6ec;flight_arrival
1f6f0;artificial_satellite
1f6f3;passenger_ship
1f6f4;kick_scooter
1f6f5;motor_scooter
1f6f6;canoe
1f910;zipper_mouth_face
1f911;money_mouth_face
1f912;face_with_thermometer
1f913;nerd_face
1f914;thinking
1f915;face_with_head_bandage
1f916;robot
1f917;hugs
1f918;metal
1f919;call_me_hand
1f91a;raised_back_of_hand
1f91b;fist_left
1f91c;fist_right
1f91d;handshake
1f91e;crossed_fingers
1f920;cowboy_hat_face
1f921;clown_face
1f922;nauseated_face
1f923;rofl
1f924;drooling_face
1f925;lying_face
1f926;facepalm
1f927;sneezing_face
1f930;pregnant_woman
1f933;selfie
1f934;prince
1f935;person_in_tuxedo
1f936;mrs_claus
1f937;shrug
1f938;cartwheeling
1f939;juggling_person
1f93a;person_fencing
1f93b
1f93c;wrestling
1f93d;water_polo
1f93e;handball_person
1f940;wilted_flower
1f941;drum
1f942;clinking_glasses
1f943;tumbler_glass
1f944;spoon
1f945;goal_net
1f946
1f947;1st_place_medal
1f948;2nd_place_medal
1f949;3rd_place_medal
1f94a;boxing_glove
1f94b;martial_arts_uniform
1f950;croissant
1f951;avocado
1f952;cucumber
1f953;bacon
1f954;potato
1f955;carrot
1f956;baguette_bread
1f957;green_salad
1f958;shallow_pan_of_food
1f959;stuffed_flatbread
1f95a;egg
1f95b;milk_glass
1f95c;peanuts
1f95d;kiwi_fruit
1f95e;pancakes
1f970;smiling_face_with_three_hearts
1f97a;pleading_face
1f980;crab
1f981;lion
1f982;scorpion
1f983;turkey
1f984;unicorn
1f985;eagle
1f986;duck
1f987;bat
1f988;shark
1f989;owl
1f98a;fox_face
1f98b;butterfly
1f98c;deer
1f98d;gorilla
1f98e;lizard
1f98f;rhinoceros
1f990;shrimp
1f991;squid
1f9c0;cheese
2600;sunny
2601;cloud
2602;open_umbrella
2603;snowman_with_snow
2604;comet
2605
2606
2607
2608
2609
260e;phone
260f
2610
2611;ballot_box_with_check
2612
2614;umbrella
2615;coffee
2616
2617
2618;shamrock
261a
261b
261c
261d;point_up
261e
261f
2620;skull_and_crossbones
2621
2622;radioactive
2623;biohazard
2624
2626;orthodox_cross
2627
2628
2629
262a;star_and_crescent
262d
262e;peace_symbol
262f;yin_yang
2630
2631
2632
2633
2634
2635
2636
2637
2638;wheel_of_dharma
2639;frowning_face
263a;relaxed
263b
263c
263d
263e
2640;female_sign
2642;male_sign
2648;aries
2649;taurus
264a;gemini
264b;cancer
264c;leo
264d;virgo
264e;libra
264f;scorpius
2650;sagittarius
2651;capricorn
2652;aquarius
2653;pisces
2660;spades
2661
2662
2663;clubs
2664
2665;hearts
2666;diamonds
2667
2668;hotsprings
2669
266a
266b
266c
266d
266e
266f
2670
2671
2672
267b;recycle
267c
267d
267f;wheelchair
2680
2681
2682
2683
2684
2685
2686
2687
2688
2689
268a
268b
268c
268d
268e
268f
2690
2691
2692;hammer_and_pick
2693;anchor
2694;crossed_swords
2695;medical_symbol
2696;balance_scale
2697;alembic
2698
2699;gear
269a
269b;atom_symbol
269c;fleur_de_lis
26a0;warning
26a1;zap
26aa;white_circle
26ab;black_circle
26b0;coffin
26b1;funeral_urn
26bd;soccer
26be;baseball
26bf
26c4;snowman
26c5;partly_sunny
26c6
26c7
26c8;cloud_with_lightning_and_rain
26c9
26ca
26cb
26ce;ophiuchus
26cf;pick
26d1;rescue_worker_helmet
26d3;chains
26d4;no_entry
26d6
26d7
26db
26dd
26de
26df
26e4
26e7
26e9;shinto_shrine
26ea;church
26f0;mountain
26f1;parasol_on_ground
26f2;fountain
26f3;golf
26f4;ferry
26f5;boat
26f7;skier
26f8;ice_skate
26f9;bouncing_ball_person
26fa;tent
26fc
26fd;fuelpump
26fe
26ff
