1f300;cyclone
1f3a0;carousel_horse
1f3a1;ferris_wheel
1f3a2;roller_coaster
1f3a3;fishing_pole_and_fish
1f3a4;microphone
1f3a5;movie_camera
1f3a6;cinema
1f3a7;headphones
1f3a8;art
1f3a9;tophat
1f3aa;circus_tent
1f3ab;ticket
1f3ac;clapper
1f3ad;performing_arts
1f3ae;video_game
1f3af;dart
1f3b0;slot_machine
1f3b1;8ball
1f3b2;game_die
1f3b3;bowling
1f3b4;flower_playing_cards
1f3b5;musical_note
1f3b6;notes
1f3b7;saxophone
1f3b8;guitar
1f3b9;musical_keyboard
1f3ba;trumpet
1f3bb;violin
1f3bc;musical_score
1f3bd;running_shirt_with_sash
1f3be;tennis
1f3bf;ski
1f3c0;basketball
1f3c1;checkered_flag
1f3c2;snowboarder
1f3c3;runner
1f3c4;surfer
1f3c5;medal_sports
1f3c6;trophy
1f3c7;horse_racing
1f3c8;football
1f3c9;rugby_football
1f3ca;swimmer
1f3cb;weight_lifting
1f3cc;golfing
1f3cd;motorcycle
1f3ce;racing_car
1f3cf;cricket_game
1f3d0;volleyball
1f3d1;field_hockey
1f3d2;ice_hockey
1f3d3;ping_pong
1f3d4;mountain_snow
1f3d5;camping
1f3d6;beach_umbrella
1f3d7;building_construction
1f3d8;houses
1f3d9;cityscape
1f3da;derelict_house
1f3db;classical_building
1f3dc;desert
1f3dd;desert_island
1f3de;national_park
1f3df;stadium
1f3e0;house
1f3e1;house_with_garden
1f3e2;office
1f3e3;post_office
1f3e4;european_post_office
1f3e5;hospital
1f3e6;bank
1f3e7;atm
1f3e8;hotel
1f3e9;love_hotel
1f3ea;convenience_store
1f3eb;school
1f3ec;department_store
1f3ed;factory
1f3ee;izakaya_lantern
1f3ef;japanese_castle
1f3f0;european_castle
1f3f3;white_flag
1f3f4;black_flag
1f3f5;rosette
1f3f7;label
1f3f8;badminton
1f3f9;bow_and_arrow
1f3fa;amphora
1f3fb
1f3fc
1f3fd
1f3fe
1f3ff
1f400;rat
1f401;mouse2
1f402;ox
1f403;water_buffalo
1f404;cow2
1f405;tiger2
1f406;leopard
1f407;rabbit2
1f408;cat2
1f409;dragon
1f40a;crocodile
1f40b;whale2
1f40c;snail
1f40d;snake
1f40e;racehorse
1f40f;ram
1f410;goat
1f411;sheep
1f412;monkey
1f413;rooster
1f414;chicken
1f415;dog2
1f416;pig2
1f417;boar
1f418;elephant
1f419;octopus
1f41a;shell
1f41b;bug
1f41c;ant
1f41d;bee
1f41e;lady_beetle
1f41f;fish
1f420;tropical_fish
1f421;blowfish
1f422;turtle
1f423;hatching_chick
1f424;baby_chick
1f425;hatched_chick
1f426;bird
1f427;penguin
1f428;koala
1f429;poodle
1f42a;dromedary_camel
1f42b;camel
1f42c;dolphin
1f42d;mouse
1f42e;cow
1f42f;tiger
1f430;rabbit
1f431;cat
1f432;dragon_face
1f433;whale
1f434;horse
1f435;monkey_face
1f436;dog
1f437;pig
1f438;frog
1f439;hamster
1f43a;wolf
1f43b;bear
1f43c;panda_face
1f43d;pig_nose
1f43e;feet
1f43f;chipmunk
1f440;eyes
1f441;eye
1f442;ear
1f443;nose
1f444;lips
1f445;tongue
1f446;point_up_2
1f447;point_down
1f448;point_left
1f449;point_right
1f44a;facepunch
1f44b;wave
1f44c;ok_hand
1f44d;thumbsup
1f44e;thumbsdown
1f44f;clap
1f450;open_hands
1f451;crown
1f452;womans_hat
1f453;eyeglasses
1f454;necktie
1f455;shirt
1f456;jeans
1f457;dress
1f458;kimono
1f459;bikini
1f45a;womans_clothes
1f45b;purse
1f45c;handbag
1f45d;pouch
1f45e;mans_shoe
1f45f;athletic_shoe
1f460;high_heel
1f461;sandal
1f462;boot
1f463;footprints
1f464;bust_in_silhouette
1f465;busts_in_silhouette
1f466;boy
1f467;girl
1f468;man
1f469;woman
1f46a;family
1f46b;couple
1f46c;two_men_holding_hands
1f46d;two_women_holding_hands
1f46e;cop
1f46f;dancers
1f470;person_with_veil
1f471;blond_haired_person
1f472;man_with_gua_pi_mao
1f473;person_with_turban
1f474;older_man
1f475;older_woman
1f476;baby
1f477;construction_worker
1f478;princess
1f479;japanese_ogre
1f47a;japanese_goblin
1f47b;ghost
1f47c;angel
1f47d;alien
1f47e;space_invader
1f47f;imp
1f480;skull
1f481;information_desk_person
1f482;guard
1f483;dancer
1f484;lipstick
1f485;nail_care
1f486;massage
1f487;haircut
1f488;barber
1f489;syringe
1f48a;pill
1f48b;kiss
1f48c;love_letter
1f48d;ring
1f48e;gem
1f48f;couplekiss
1f490;bouquet
1f491;couple_with_heart
1f492;wedding
1f493;heartbeat
1f494;broken_heart
1f495;two_hearts
1f496;sparkling_heart
1f497;heartpulse
1f498;cupid
1f499;blue_heart
1f49a;green_heart
1f49b;yellow_heart
1f49c;purple_heart
1f49d;gift_heart
1f49e;revolving_hearts
1f49f;heart_decoration
1f4a0;diamond_shape_with_a_dot_inside
1f4a1;bulb
1f4a2;anger
1f4a3;bomb
1f4a4;zzz
1f4a5;boom
1f4a6;sweat_drops
1f4a7;droplet
1f4a8;dash
1f4a9;hankey
1f4aa;muscle
1f4ab;dizzy
1f4ac;speech_balloon
1f4ad;thought_balloon
1f4ae;white_flower
1f4af;100
1f4b0;moneybag
1f4b1;currency_exchange
1f4b2;heavy_dollar_sign
1f4b3;credit_card
1f4b4;yen
1f4b5;dollar
1f4b6;euro
1f4b7;pound
1f4b8;money_with_wings
1f4b9;chart
1f4ba;seat
1f4bb;computer
1f4bc;briefcase
1f4bd;minidisc
1f4be;floppy_disk
1f4bf;cd
1f4c0;dvd
1f4c1;file_folder
1f4c2;open_file_folder
1f4c3;page_with_curl
1f4c4;page_facing_up
1f4c5;date
1f4c6;calendar
1f4c7;card_index
1f4c8;chart_with_upwards_trend
1f4c9;chart_with_downwards_trend
1f4ca;bar_chart
1f4cb;clipboard
1f4cc;pushpin
1f4cd;round_pushpin
1f4ce;paperclip
1f4cf;straight_ruler
1f4d0;triangular_ruler
1f4d1;bookmark_tabs
1f4d2;ledger
1f4d3;notebook
1f4d4;notebook_with_decorative_cover
1f4d5;closed_book
1f4d6;book
1f4d7;green_book
1f4d8;blue_book
1f4d9;orange_book
1f4da;books
1f4db;name_badge
1f4dc;scroll
1f4dd;memo
1f4de;telephone_receiver
1f4df;pager
1f4e0;fax
1f4e1;satellite
1f4e2;loudspeaker
1f4e3;mega
1f4e4;outbox_tray
1f4e5;inbox_tray
1f4e6;package
1f4e7;email
1f4e8;incoming_envelope
1f4e9;envelope_with_arrow
1f4ea;mailbox_closed
1f4eb;mailbox
1f4ec;mailbox_with_mail
1f4ed;mailbox_with_no_mail
1f4ee;postbox
1f4ef;postal_horn
1f4f0;newspaper
1f4f1;iphone
1f4f2;calling
1f4f3;vibration_mode
1f4f4;mobile_phone_off
1f4f5;no_mobile_phones
1f4f6;signal_strength
1f4f7;camera
1f4f8;camera_flash
1f4f9;video_camera
1f4fa;tv
1f4fb;radio
1f4fc;vhs
1f4fd;film_projector
1f4ff;prayer_beads
1f500;twisted_rightwards_arrows
1f501;repeat
1f502;repeat_one
1f503;arrows_clockwise
1f504;arrows_counterclockwise
1f505;low_brightness
1f506;high_brightness
1f507;mute
1f508;speaker
1f509;sound
1f50a;loud_sound
1f50b;battery
1f50c;electric_plug
1f50d;mag
1f50e;mag_right
1f50f;lock_with_ink_pen
1f510;closed_lock_with_key
1f511;key
1f512;lock
1f513;unlock
1f514;bell
1f515;no_bell
1f516;bookmark
1f517;link
1f518;radio_button
1f519;back
1f51a;end
1f51b;on
1f51c;soon
1f51d;top
1f51e;underage
1f51f;keycap_ten
1f520;capital_abcd
1f521;abcd
1f522;1234
1f523;symbols
1f524;abc
1f525;fire
1f526;flashlight
1f527;wrench
1f528;hammer
1f529;nut_and_bolt
1f52a;hocho
1f52b;gun
1f52c;microscope
1f52d;telescope
1f52e;crystal_ball
1f52f;six_pointed_star
1f530;beginner
1f531;trident
1f532;black_square_button
1f533;white_square_button
1f534;red_circle
1f535;large_blue_circle
1f536;large_orange_diamond
1f537;large_blue_diamond
1f538;small_orange_diamond
1f539;small_blue_diamond
1f53a;small_red_triangle
1f53b;small_red_triangle_down
1f53c;arrow_up_small
1f53d;arrow_down_small
1f549;om
1f54a;dove
1f54b;kaaba
1f54c;mosque
1f54d;synagogue
1f54e;menorah
1f550;clock1
1f551;clock2
1f552;clock3
1f553;clock4
1f554;clock5
1f555;clock6
1f556;clock7
1f557;clock8
1f558;clock9
1f559;clock10
1f55a;clock11
1f55b;clock12
1f55c;clock130
1f55d;clock230
1f55e;clock330
1f55f;clock430
1f560;clock530
1f561;clock630
1f562;clock730
1f563;clock830
1f564;clock930
1f565;clock1030
1f566;clock1130
1f567;clock1230
1f56f;candle
1f570;mantelpiece_clock
1f573;hole
1f574;business_suit_levitating
1f575;detective
1f576;dark_sunglasses
1f577;spider
1f578;spider_web
1f579;joystick
1f57a;man_dancing
1f587;paperclips
1f58a;pen
1f58b;fountain_pen
1f58c;paintbrush
1f58d;crayon
1f590;raised_hand_with_fingers_splayed
1f595;fu
1f596;vulcan_salute
1f5a4;black_heart
1f5a5;desktop_computer
1f5a8;printer
1f5b1;computer_mouse
1f5b2;trackball
1f5bc;framed_picture
1f5c2;card_index_dividers
1f5c3;card_file_box
1f5c4;file_cabinet
1f5d1;wastebasket
1f5d2;spiral_notepad
1f5d3;spiral_calendar
1f5dc;clamp
1f5dd;old_key
1f5de;newspaper_roll
1f5e1;dagger
1f5e3;speaking_head
1f5e8;left_speech_bubble
1f5ef;right_anger_bubble
1f5f3;ballot_box
1f5fa;world_map
1f5fb;mount_fuji
1f5fc;tokyo_tower
1f5fd;statue_of_liberty
1f5fe;japan
1f5ff;moyai
1f600;grinning
1f601;grin
1f602;joy
1f603;smiley
1f604;smile
1f605;sweat_smile
1f606;laughing
1f607;innocent
1f608;smiling_imp
1f609;wink
1f60a;blush
1f60b;yum
1f60c;relieved
1f60d;heart_eyes
1f60e;sunglasses
1f60f;smirk
1f610;neutral_face
1f611;expressionless
1f612;unamused
1f613;sweat
1f614;pensive
1f615;confused
1f616;confounded
1f617;kissing
1f618;kissing_heart
1f619;kissing_smiling_eyes
1f61a;kissing_closed_eyes
1f61b;stuck_out_tongue
1f61c;stuck_out_tongue_winking_eye
1f61d;stuck_out_tongue_closed_eyes
1f61e;disappointed
1f61f;worried
1f620;angry
1f621;pout
1f622;cry
1f623;persevere
1f624;triumph
1f625;disappointed_relieved
1f626;frowning
1f627;anguished
1f628;fearful
1f629;weary
1f62a;sleepy
1f62b;tired_face
1f62c;grimacing
1f62d;sob
1f62e;open_mouth
1f62f;hushed
1f630;cold_sweat
1f631;scream
1f632;astonished
1f633;flushed
1f634;sleeping
1f635;dizzy_face
1f636;no_mouth
1f637;mask
1f638;smile_cat
1f639;joy_cat
1f63a;smiley_cat
1f63b;heart_eyes_cat
1f63c;smirk_cat
1f63d;kissing_cat
1f63e;pouting_cat
1f63f;crying_cat_face
1f640;scream_cat
1f641;slightly_frowning_face
1f642;slightly_smiling_face
1f643;upside_down_face
1f644;roll_eyes
1f645;no_good
1f646;ok_person
1f647;bow
1f648;see_no_evil
1f649;hear_no_evil
1f64a;speak_no_evil
1f64b;raising_hand
1f64c;raised_hands
1f64d;frowning_person
1f64e;pouting_face
1f64f;pray
1f680;rocket
1f681;helicopter
1f682;steam_locomotive
1f683;railway_car
1f684;bullettrain_side
1f685;bullettrain_front
1f686;train2
1f687;metro
1f688;light_rail
1f689;station
1f68a;tram
1f68b;train
1f68c;bus
1f68d;oncoming_bus
1f68e;trolleybus
1f68f;busstop
1f690;minibus
1f691;ambulance
1f692;fire_engine
1f693;police_car
1f694;oncoming_police_car
1f695;taxi
1f696;oncoming_taxi
1f697;car
1f698;oncoming_automobile
1f699;blue_car
1f69a;truck
1f69b;articulated_lorry
1f69c;tractor
1f69d;monorail
1f69e;mountain_railway
1f69f;suspension_railway
1f6a0;mountain_cableway
1f6a1;aerial_tramway
1f6a2;ship
1f6a3;rowboat
1f6a4;speedboat
1f6a5;traffic_light
1f6a6;vertical_traffic_light
1f6a7;construction
1f6a8;rotating_light
1f6a9;triangular_flag_on_post
1f6aa;door
1f6ab;no_entry_sign
1f6ac;smoking
1f6ad;no_smoking
1f6ae;put_litter_in_its_place
1f6af;do_not_litter
1f6b0;potable_water
1f6b1
1f6b2;bike
1f6b3;no_bicycles
1f6b4;bicyclist
1f6b5;mountain_bicyclist
1f6b6;walking
1f6b7;no_pedestrians
1f6b8;children_crossing
1f6b9;mens
1f6ba;womens
1f6bb;restroom
1f6bc;baby_symbol
1f6bd;toilet
1f6be;wc
1f6bf;shower
1f6c0;bath
1f6c1;bathtub
1f6c2;passport_control
1f6c3;customs
1f6c4;baggage_claim
1f6c5;left_luggage
1f6cb;couch_and_lamp
1f6cc;sleeping_bed
1f6cd;shopping
1f6ce;bellhop_bell
1f6cf;bed
1f6d0;place_of_worship
1f6d1;stop_sign
1f6d2;shopping_cart
1f6d5;hindu_temple
1f6d6;hut
1f6d7;elevator
1f6e0;hammer_and_wrench
1f6e1;shield
1f6e2;oil_drum
1f6e3;motorway
1f6e4;railway_track
1f6e5;motor_boat
1f6e9;small_airplane
1f6eb;flight_departure
1f6ec;flight_arrival
1f6f0;artificial_satellite
1f6f3;passenger_ship
1f6f4;kick_scooter
1f6f5;motor_scooter
1f6f6;canoe
1f6f7;sled
1f6f8;flying_saucer
1f6f9;skateboard
1f6fa;auto_rickshaw
1f6fb;pickup_truck
1f6fc;roller_skate
1f90c;pinched_fingers
1f90d;white_heart
1f90e;brown_heart
1f90f;pinching_hand
1f910;zipper_mouth_face
1f911;money_mouth_face
1f912;face_with_thermometer
1f913;nerd_face
1f914;thinking
1f915;face_with_head_bandage
1f916;robot
1f917;hugs
1f918;metal
1f919;call_me_hand
1f91a;raised_back_of_hand
1f91b;fist_left
1f91c;fist_right
1f91d;handshake
1f91e;crossed_fingers
1f91f;love_you_gesture
1f920;cowboy_hat_face
1f921;clown_face
1f922;nauseated_face
1f923;rofl
1f924;drooling_face
1f925;lying_face
1f926;facepalm
1f927;sneezing_face
1f928;raised_eyebrow
1f929;star_struck
1f92a;zany_face
1f92b;shushing_face
1f92c;cursing_face
1f92d;hand_over_mouth
1f92e;vomiting_face
1f92f;exploding_head
1f930;pregnant_woman
1f931;breast_feeding
1f932;palms_up_together
1f933;selfie
1f934;prince
1f935;person_in_tuxedo
1f936;mrs_claus
1f937;shrug
1f938;cartwheeling
1f939;juggling_person
1f93a;person_fencing
1f93c;wrestling
1f93d;water_polo
1f93e;handball_person
1f93f;diving_mask
1f940;wilted_flower
1f941;drum
1f942;clinking_glasses
1f943;tumbler_glass
1f944;spoon
1f945;goal_net
1f947;1st_place_medal
1f948;2nd_place_medal
1f949;3rd_place_medal
1f94a;boxing_glove
1f94b;martial_arts_uniform
1f94c;curling_stone
1f94d;lacrosse
1f94e;softball
1f94f;flying_disc
1f950;croissant
1f951;avocado
1f952;cucumber
1f953;bacon
1f954;potato
1f955;carrot
1f956;baguette_bread
1f957;green_salad
1f958;shallow_pan_of_food
1f959;stuffed_flatbread
1f95a;egg
1f95b;milk_glass
1f95c;peanuts
1f95d;kiwi_fruit
1f95e;pancakes
1f95f;dumpling
1f960;fortune_cookie
1f961;takeout_box
1f962;chopsticks
1f963;bowl_with_spoon
1f964;cup_with_straw
1f965;coconut
1f966;broccoli
1f967;pie
1f968;pretzel
1f969;cut_of_meat
1f96a;sandwich
1f96b;canned_food
1f96c;leafy_green
1f96d;mango
1f96e;moon_cake
1f96f;bagel
1f970;smiling_face_with_three_hearts
1f971;yawning_face
1f972;smiling_face_with_tear
1f973;partying_face
1f974;woozy_face
1f975;hot_face
1f976;cold_face
1f977;ninja
1f978;disguised_face
1f97a;pleading_face
1f97b;sari
1f97c;lab_coat
1f97d;goggles
1f97e;hiking_boot
1f97f;flat_shoe
1f980;crab
1f981;lion
1f982;scorpion
1f983;turkey
1f984;unicorn
1f985;eagle
1f986;duck
1f987;bat
1f988;shark
1f989;owl
1f98a;fox_face
1f98b;butterfly
1f98c;deer
1f98d;gorilla
1f98e;lizard
1f98f;rhinoceros
1f990;shrimp
1f991;squid
1f992;giraffe
1f993;zebra
1f994;hedgehog
1f995;sauropod
1f996
1f997;cricket
1f998;kangaroo
1f999;llama
1f99a;peacock
1f99b;hippopotamus
1f99c;parrot
1f99d;raccoon
1f99e;lobster
1f99f;mosquito
1f9a0;microbe
1f9a1;badger
1f9a2;swan
1f9a3;mammoth
1f9a4;dodo
1f9a5;sloth
1f9a6;otter
1f9a7;orangutan
1f9a8;skunk
1f9a9;flamingo
1f9aa;oyster
1f9ab;beaver
1f9ac;bison
1f9ad;seal
1f9ae;guide_dog
1f9af;probing_cane
1f9b0
1f9b1
1f9b2
1f9b3
1f9b4;bone
1f9b5;leg
1f9b6;foot
1f9b7;tooth
1f9b8;superhero
1f9b9;supervillain
1f9ba;safety_vest
1f9bb;ear_with_hearing_aid
1f9bc;motorized_wheelchair
1f9bd;manual_wheelchair
1f9be;mechanical_arm
1f9bf;mechanical_leg
1f9c0;cheese
1f9c1;cupcake
1f9c2;salt
1f9c3;beverage_box
1f9c4;garlic
1f9c5;onion
1f9c6;falafel
1f9c7;waffle
1f9c8;butter
1f9c9;mate
1f9ca;ice_cube
1f9cb;bubble_tea
1f9cd;standing_person
1f9ce;kneeling_person
1f9cf;deaf_person
1f9d0;monocle_face
1f9d1;adult
1f9d2;child
1f9d3;older_adult
1f9d4;bearded_person
1f9d5;woman_with_headscarf
1f9d6;sauna_person
1f9d7;climbing
1f9d8;lotus_position
1f9d9;mage
1f9da;fairy
1f9db;vampire
1f9dc;merperson
1f9dd;elf
1f9de;genie
1f9df;zombie
1f9e0;brain
1f9e1;orange_heart
1f9e2;billed_cap
1f9e3;scarf
1f9e4;gloves
1f9e5;coat
1f9e6;socks
1f9e7;red_envelope
1f9e8;firecracker
1f9e9;jigsaw
1f9ea;test_tube
1f9eb;petri_dish
1f9ec;dna
1f9ed;compass
1f9ee;abacus
1f9ef;fire_extinguisher
1f9f0;toolbox
1f9f1;bricks
1f9f2;magnet
1f9f3;luggage
1f9f4;lotion_bottle
1f9f5;thread
1f9f6;yarn
1f9f7;safety_pin
1f9f8;teddy_bear
1f9f9;broom
1f9fa;basket
1f9fb;roll_of_paper
1f9fc;soap
1f9fd;sponge
1f9fe;receipt
1f9ff;nazar_amulet
2600;sunny
2601;cloud
2602;open_umbrella
2603;snowman_with_snow
2604;comet
260e;phone
2611;ballot_box_with_check
2614;umbrella
2615;coffee
2618;shamrock
261d;point_up
2620;skull_and_crossbones
2622;radioactive
2623;biohazard
2626;orthodox_cross
262a;star_and_crescent
262e;peace_symbol
262f;yin_yang
2638;wheel_of_dharma
2639;frowning_face
263a;relaxed
2640;female_sign
2642;male_sign
2648;aries
2649;taurus
264a;gemini
264b;cancer
264c;leo
264d;virgo
264e;libra
264f;scorpius
2650;sagittarius
2651;capricorn
2652;aquarius
2653;pisces
265f;chess_pawn
2660;spades
2663;clubs
2665;hearts
2666;diamonds
2668;hotsprings
267b;recycle
267e;infinity
267f;wheelchair
2692;hammer_and_pick
2693;anchor
2694;crossed_swords
2695;medical_symbol
2696;balance_scale
2697;alembic
2699;gear
269b;atom_symbol
269c;fleur_de_lis
26a0;warning
26a1;zap
26a7;transgender_symbol
26aa;white_circle
26ab;black_circle
26b0;coffin
26b1;funeral_urn
26bd;soccer
26be;baseball
26c4;snowman
26c5;partly_sunny
26c8;cloud_with_lightning_and_rain
26ce;ophiuchus
26cf;pick
26d1;rescue_worker_helmet
26d3;chains
26d4;no_entry
26e9;shinto_shrine
26ea;church
26f0;mountain
26f1;parasol_on_ground
26f2;fountain
26f3;golf
26f4;ferry
26f5;boat
26f7;skier
26f8;ice_skate
26f9;bouncing_ball_person
26fa;tent
26fd;fuelpump
2702;scissors
2705;white_check_mark
2708;airplane
2709;envelope
270a;fist
270b;hand
270c;v
270d;writing_hand
270f;pencil2
2712;black_nib
2714;heavy_check_mark
2716;heavy_multiplication_x
271d;latin_cross
2721;star_of_david
2728;sparkles
2733;eight_spoked_asterisk
2734;eight_pointed_black_star
2744;snowflake
2747;sparkle
274c;x
274e;negative_squared_cross_mark
2753;question
2754;grey_question
2755;grey_exclamation
2757;exclamation
2763;heavy_heart_exclamation
2764;heart
2795;heavy_plus_sign
2796;heavy_minus_sign
2797;heavy_division_sign
27a1;arrow_right
27b0;curly_loop
27bf;loop
